1.0,-0.9858740435550322,1.0,-0.9858740435550322,1.0,-0.9858740435550322,1.0,-0.9858740435550322,1.0,-0.8272513243084166,0.9773396115361977,-0.668628605061801,0.9773396115361977,-0.668628605061801,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127,0.8866980576809887,0.4870512065921127	1,0,0,0,0
-0.760391782130912,-0.0033444816053508435,-0.760391782130912,0.2355470616340184,-0.760391782130912,0.5461060678451984,-0.7365026278069751,0.8088867654085046,-0.6409460105112273,1.0,-0.6409460105112273,1.0,-0.6409460105112273,1.0,-0.6409460105112273,1.0,-0.6409460105112273,1.0,-0.6409460105112273,1.0,-0.6409460105112273,1.0,0.5057333970377451,0.354992833253703,0.6490683229813666,0.3072145246058292,0.6490683229813666,0.3072145246058292,0.6490683229813666,0.3072145246058292,0.6490683229813666,0.3072145246058292,0.6490683229813666,0.3072145246058292,0.6490683229813666,0.3072145246058292,0.6490683229813666,0.3072145246058292,0.6490683229813666,0.3072145246058292	0,1,0,0,0
-0.13742690058479576,-0.8403996101364518,-0.13742690058479576,-0.8403996101364518,-0.13742690058479576,-0.8403996101364518,-0.13742690058479576,-0.8403996101364518,-0.13742690058479576,-0.796052631578947,0.21734892787524315,-0.5299707602339178,0.43908382066276747,-0.41910331384015564,0.6608187134502918,-0.41910331384015564,0.7051656920077967,-0.41910331384015564,0.7051656920077967,-0.41910331384015564,0.7938596491228064,-0.4634502923976605,0.7938596491228064,-0.4634502923976605,0.7938596491228064,-0.4634502923976605,0.8603801169590637,-0.5077972709551654,0.8603801169590637,-0.5077972709551654,0.8603801169590637,-0.5077972709551654,0.8603801169590637,-0.5077972709551654,0.8603801169590637,-0.5077972709551654,0.8603801169590637,-0.5077972709551654,0.8603801169590637,-0.5077972709551654	0,0,1,0,0
0.08058812581425663,-0.8042062162665177,0.16899311371673195,-0.8042062162665177,0.3988460822631678,-0.8042062162665177,0.5756560580681185,-0.8042062162665177,0.7347850362925741,-0.8042062162665177,0.9292760096780198,-0.7865252186860227,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275,1.0,-0.7688442211055275	0,0,0,1,0
0.1796465968586395,-1.0,0.32035340314136207,-1.0,0.5454842931937182,-1.0,0.8831806282722522,-1.0,0.9957460732984302,-1.0,0.9957460732984302,-1.0,0.9957460732984302,-1.0,0.9957460732984302,-1.0,0.5736256544502626,0.9136125654450266,0.5736256544502626,0.9136125654450266,0.5736256544502626,0.9136125654450266,0.5736256544502626,0.9417539267015711,0.5736256544502626,0.9417539267015711,0.5736256544502626,0.9417539267015711,0.5736256544502626,0.9417539267015711,0.5736256544502626,0.9417539267015711,0.5736256544502626,0.9417539267015711,0.5736256544502626,0.9417539267015711,0.5736256544502626,0.9417539267015711,0.5736256544502626,0.9417539267015711	0,0,0,0,1
-0.3577889447236184,-0.5222780569514237,0.8552763819095468,-0.8552763819095475,0.8552763819095468,-0.8552763819095475,0.8552763819095468,-0.8552763819095475,0.8552763819095468,-0.6887772194304855,0.8077051926298148,-0.5222780569514237,0.8077051926298148,-0.5222780569514237,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095,0.8552763819095468,0.6432160804020095	1,0,0,0,0
-0.7431473718155432,0.39051918735891644,-0.7770074169622702,0.492099322799097,-0.7770074169622702,0.492099322799097,-0.7770074169622702,0.7460496613995485,-0.7770074169622702,0.9830699774266366,-0.7770074169622702,1.0,-0.7770074169622702,1.0,-0.7770074169622702,1.0,-0.7770074169622702,1.0,-0.7770074169622702,1.0,-0.7770074169622702,1.0,-0.7770074169622702,1.0,-0.7770074169622702,1.0,0.441954208319897,0.2720090293453724,0.441954208319897,0.2720090293453724,0.441954208319897,0.2720090293453724,0.441954208319897,0.2720090293453724,0.441954208319897,0.2720090293453724,0.441954208319897,0.2720090293453724,0.441954208319897,0.2720090293453724	0,1,0,0,0
-0.3024767258036182,-0.5185315299490602,-0.3024767258036182,-0.5185315299490602,-0.3024767258036182,-0.5185315299490602,-0.3024767258036182,-0.5185315299490602,-0.3024767258036182,-0.5185315299490602,-0.13560512910591924,-0.3015984542420515,-0.002107851747760088,-0.0012295801861934637,-0.002107851747760088,0.18232917618127537,-0.002107851747760088,0.44932373089759364,-0.002107851747760088,0.44932373089759364,-0.002107851747760088,0.44932373089759364,-0.035482171087299876,0.5327595292464431,-0.10223080976637944,0.6829439662743721,-0.10223080976637944,0.6829439662743721,-0.10223080976637944,0.6829439662743721,-0.10223080976637944,0.6829439662743721,-0.168979448445459,0.7997540839627614,-0.168979448445459,0.7997540839627614,-0.168979448445459,0.7997540839627614,-0.168979448445459,0.7997540839627614	0,0,1,0,0
0.16321458160729038,-1.0,0.16321458160729038,-1.0,0.2715824357912175,-1.0,0.5063794531897262,-1.0,0.6689312344656168,-1.0,0.8495443247721619,-1.0,0.8495443247721619,-1.0,0.8495443247721619,-1.0,0.8495443247721619,-1.0,0.8495443247721619,-1.0,0.8495443247721619,-1.0,0.8495443247721619,-1.0,0.253521126760563,0.1378624689312344,0.253521126760563,0.1378624689312344,0.253521126760563,0.1378624689312344,0.14515327257663588,0.5352112676056338,0.14515327257663588,0.5352112676056338,0.14515327257663588,0.5352112676056338,0.14515327257663588,0.5352112676056338,0.14515327257663588,0.5352112676056338	0,0,0,1,0
-0.19144693108796904,-0.9565699091513405,-0.061156658541990726,-1.0,-0.061156658541990726,-1.0,0.22113893197429563,-0.9782849545756702,0.46000443164192256,-0.9782849545756702,0.503434522490582,-0.9782849545756702,0.503434522490582,-0.9782849545756702,0.35142920452027393,-0.1096831376024815,0.35142920452027393,-0.1096831376024815,0.6988699313095494,0.9760691336140045,0.6988699313095494,0.9760691336140045,0.6988699313095494,0.9760691336140045,0.6988699313095494,0.9760691336140045,0.6988699313095494,0.9977841790383342,0.6988699313095494,0.9977841790383342,0.6988699313095494,0.9977841790383342,0.6988699313095494,0.9977841790383342,0.6988699313095494,0.9977841790383342,0.6988699313095494,0.9977841790383342,0.6988699313095494,0.9977841790383342	0,0,0,0,1
